# ============================================
# MODBUS RTU SPECIFICATION - Kaisai/Phinx Heat Pumps
# ============================================
#
# 1. TRANSMISSION FORMAT
# ----------------------
# Baud Rate:     9600 bps
# Start bit:     1
# Byte width:    8
# Parity:        None (N)
# Stop bits:     1
# Slave address: 0x10 (16 decimal)
#
# 2. PACKET FORMAT
# ----------------
# | Address (16bit) | Function (16bit) | Data (N*16bit) | CRC Checksum (16bit) |
#
# Function codes:
#   03 - Read multiple registers
#   16 - Write (preset) multiple registers
#
# 3. DATA TYPES
# -------------
# TEMP  - Signed, 0.1°C resolution. Formula: T*10. Range: -30~97°C
#         Example: 25°C = 250, -25°C = -250 (bit15=1 for negative)
#         Value 32767 indicates sensor fault
# DIGI1 - Unsigned, unit 1. Display 123 = data 123
# DIGI2 - Unsigned, unit 10. Display 1230 = data 123
# DIGI3 - Unsigned, unit 100. Display 12300 = data 123
# DIGI4 - Unsigned, unit 100. Display 12300 = data 123
# DIGI5 - Unsigned, unit 0.1. Display 12.3 = data 123
# DIGI6 - Unsigned, unit 0.001. Display 0.123 = data 123
# DIGI9 - Unsigned, unit 0.01. Display 0.12 = data 12
# ENUM  - Enumeration, discrete values
# BINARY- Bitfield, each bit has meaning
#
# ============================================
Parameter address,Parameter name,Parameter code,Standard num,Mode,Description,Data type,Setting range
1011,Power,Power,--,Read-write,0-OFF/1-ON,ENUM,0~1
1012,Mode,Mode,--,Read-write,0-Hot Water/1-Heating/2-Cooling/3-Hot Water+Heating/4-Hot Water+Cooling,ENUM,--
1014,1014,1014,--,Read-write,--,DIGI1,--
1016,Manual Control,hanControl,--,Read-write,bit0：Manual defrost(0-off 1-on) bit1：A key mute(0-off 1-on) bit2：A key heating(0-off 1-on) bit3：A key Refill Valve(0-off 1-on),BINARY,--
1017,test10,test10,--,Read-write,--,DIGI1,0~8
1018,Enable Power-off Memory,H01,--,Read-write,0-【NO】/1-【YES】,ENUM,0~1
1019,Fan Motor Driver and Comp. Driver Integrated,H33,--,Read-write,0-【NO】/1-【YES】,ENUM,0~1
1020,ERP Testing Mode,H34,--,Read-write,--,DIGI1,0~3
1021,Enable Cooling Function,H05,--,Read-write,0-【NO】/1-【YES】,ENUM,0~1
1022,test4,test4,--,Read-write,--,DIGI9,-100~100
1023,Control Mode,H07,--,Read-write,0-【Display Control】 1-【RemoteControl】,ENUM,0~1
1024,Unit Address,H10,--,Read-write,1~32,DIGI1,1~32
1025,language,H38,--,Read-write,Wire controller displays language,ENUM,0~13
1026,H,H,--,Read-write,--,DIGI1,0~65535
1027,Enable EVI,H27,--,Read-write,0- 【no EVI】/1-【EVI for cooling】/2-【EVI for heating】/3-【All EVI】,ENUM,0~3
1028,Heating/Cooling and Hot Water Function Enabled,H28,--,Read-write,0-【NO】/1-【YES】/2-【Only DHW】,ENUM,0~2
1029,Temperature Unit,H21,--,Read-write,0-【℃】/1-【℉】,ENUM,0~1
1030,Enable Silent Mode,H22,--,Read-write,0-【NO】/1-【YES】,ENUM,0~1
1031,Electric Heater OFF Temp. Diff,A35,--,Read-write,0~30℃,TEMP,0~30
1032,Electric Heater Stage,H18,--,Read-write,1-【Stage1】/2-【Stage2】/3-【Stage3】,ENUM,1~3
1033,3-way Valve Polarity,H20,--,Read-write,0-【Hot Water-ON】/1-【Hot Water-OFF】,ENUM,0~1
1034,Operation Code,H29,--,Read-write,0-20,DIGI1,0~20
1035,Temp. Control Selection,H25,--,Read-write,0-【Outlet Water Temp.】 1-【Room Temp.】 2-【Buffer Tank Temp.】 3-【Inlet Water Temp.】,ENUM,0~3
1036,Indoor Unit Type,H30,--,Read-write,0-None /1-1st Type /2-2nd Type/3-3rd Type,ENUM,0~3
1037,Shutdown Ambient Temp.,A03,--,Read-write,-40.0~10.0℃,TEMP,-40~10
1038,Antifreeze Temp.,A04,--,Read-write,A22~10.0℃,TEMP,$1053$~10
1039,Antifreeze Temp. Difference,A05,--,Read-write,1.0~50.0℃,TEMP,1~50
1040,Max. Exhaust Temp.,A06,--,Read-write,60.0~130.0℃,TEMP,60~130
1041,Circulation Pump Type,H31,--,Read-write,0-【No Flow Detection】 1-【Grundfos(25~75)】 2-【Grundfos(25~105)】 3-【Grundfos(25~125)】 4-【APM25(9~130)】 5-【APM25(12~130)】,ENUM,0~5
1042,Enable Low Pressure Sensor,A11,--,Read-write,0-【NO】/1-【YES】,ENUM,0~1
1043,Min. Outlet Water Temp. Protect,A23,--,Read-write,-30~20℃,TEMP,-30~20
